barrels08,city08,comb08,fuelCost08,fuelType1,highway08,phevBlended,VClass,year,score
18.311666666666667,16.0,18.0,3200.0,Premium Gasoline,22.0,False,1,2004,1
18.311666666666667,16.0,18.0,3200.0,Premium Gasoline,22.0,False,1,2004,2
13.1844,22.0,25.0,2300.0,Premium Gasoline,29.0,False,1,2004,1
11.771785714285713,25.0,28.0,2050.0,Premium Gasoline,33.0,False,1,2004,1
13.1844,22.0,25.0,2300.0,Premium Gasoline,31.0,False,1,2004,1
14.330869565217393,20.0,23.0,2050.0,Regular Gasoline,28.0,False,1,2004,2
14.330869565217393,20.0,23.0,2050.0,Regular Gasoline,28.0,False,1,2004,1
16.4805,18.0,20.0,2400.0,Regular Gasoline,24.0,False,1,2004,2
16.4805,18.0,20.0,2400.0,Regular Gasoline,24.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,26.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,25.0,False,1,2004,1
13.73375,21.0,24.0,2400.0,Premium Gasoline,28.0,False,1,2004,1
14.98227272727273,19.0,22.0,2650.0,Premium Gasoline,26.0,False,1,2004,1
14.98227272727273,19.0,22.0,2150.0,Regular Gasoline,28.0,False,1,2004,5
14.98227272727273,19.0,22.0,2150.0,Regular Gasoline,28.0,False,1,2004,6
12.677307692307693,24.0,26.0,1850.0,Regular Gasoline,30.0,False,1,2004,2
12.677307692307693,24.0,26.0,1850.0,Regular Gasoline,30.0,False,1,2004,5
13.73375,21.0,24.0,2400.0,Premium Gasoline,28.0,False,1,2004,2
13.73375,21.0,24.0,2400.0,Premium Gasoline,28.0,False,1,2004,5
13.1844,22.0,25.0,1900.0,Regular Gasoline,31.0,False,1,2004,2
13.1844,22.0,25.0,1900.0,Regular Gasoline,31.0,False,1,2004,5
14.330869565217393,20.0,23.0,2500.0,Premium Gasoline,28.0,False,1,2004,2
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,25.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,25.0,False,1,2004,2
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,23.0,False,1,2004,1
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,23.0,False,1,2004,2
20.600625,13.0,16.0,3650.0,Premium Gasoline,20.0,False,1,2004,1
18.311666666666667,16.0,18.0,3200.0,Premium Gasoline,21.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,5
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,6
16.4805,17.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,5
16.4805,17.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,9
16.4805,17.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,6
14.98227272727273,19.0,22.0,2650.0,Premium Gasoline,28.0,False,1,2004,1
14.98227272727273,19.0,22.0,2650.0,Premium Gasoline,28.0,False,1,2004,2
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,5
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,6
16.4805,17.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,5
16.4805,17.0,20.0,2900.0,Premium Gasoline,25.0,False,1,2004,6
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,2
18.311666666666667,15.0,18.0,3200.0,Premium Gasoline,23.0,False,1,2004,1
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,24.0,False,1,2004,1
19.388823529411766,15.0,17.0,3400.0,Premium Gasoline,22.0,False,1,2004,1
20.600625,13.0,16.0,3650.0,Premium Gasoline,21.0,False,1,2004,1
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,24.0,False,1,2004,1
19.388823529411766,15.0,17.0,3400.0,Premium Gasoline,22.0,False,1,2004,1
19.388823529411766,15.0,17.0,3400.0,Premium Gasoline,21.0,False,1,2004,1
16.4805,17.0,20.0,2400.0,Regular Gasoline,25.0,False,1,2004,2
16.4805,17.0,20.0,2400.0,Regular Gasoline,25.0,False,1,2004,1
15.695714285714288,18.0,21.0,2250.0,Regular Gasoline,27.0,False,1,2004,2
15.695714285714288,18.0,21.0,2250.0,Regular Gasoline,27.0,False,1,2004,1
16.4805,17.0,20.0,2400.0,Regular Gasoline,24.0,False,1,2004,2
16.4805,17.0,20.0,2400.0,Regular Gasoline,24.0,False,1,2004,1
18.311666666666667,16.0,18.0,2650.0,Regular Gasoline,21.0,False,1,2004,2
19.388823529411766,15.0,17.0,2800.0,Regular Gasoline,21.0,False,1,2004,2
18.311666666666667,15.0,18.0,2650.0,Regular Gasoline,23.0,False,1,2004,2
19.388823529411766,15.0,17.0,2800.0,Regular Gasoline,22.0,False,1,2004,2
14.98227272727273,20.0,22.0,2150.0,Regular Gasoline,27.0,False,1,2004,1
14.98227272727273,20.0,22.0,2150.0,Regular Gasoline,27.0,False,1,2004,2
14.330869565217393,21.0,23.0,2050.0,Regular Gasoline,28.0,False,1,2004,1
14.330869565217393,21.0,23.0,2050.0,Regular Gasoline,28.0,False,1,2004,2
16.4805,17.0,20.0,2400.0,Regular Gasoline,24.0,False,1,2004,1
17.347894736842107,16.0,19.0,2500.0,Regular Gasoline,24.0,False,1,2004,1
17.347894736842107,16.0,19.0,3050.0,Premium Gasoline,24.0,False,1,2004,5
19.388823529411766,14.0,17.0,3400.0,Premium Gasoline,21.0,False,1,2004,1
27.4675,10.0,12.0,4850.0,Premium Gasoline,15.0,False,1,2004,1
27.4675,10.0,12.0,4850.0,Premium Gasoline,16.0,False,1,2004,1
18.311666666666667,16.0,18.0,3200.0,Premium Gasoline,22.0,False,1,2004,5
16.4805,18.0,20.0,2900.0,Premium Gasoline,24.0,False,1,2004,2
16.4805,18.0,20.0,2900.0,Premium Gasoline,24.0,False,1,2004,2
19.388823529411766,15.0,17.0,3400.0,Premium Gasoline,21.0,False,1,2004,2
19.388823529411766,15.0,17.0,3400.0,Premium Gasoline,21.0,False,1,2004,5
19.388823529411766,15.0,17.0,3400.0,Premium Gasoline,21.0,False,1,2004,2
19.388823529411766,15.0,17.0,3400.0,Premium Gasoline,21.0,False,1,2004,5
20.600625,14.0,16.0,3650.0,Premium Gasoline,20.0,False,1,2004,1
20.600625,14.0,16.0,3650.0,Premium Gasoline,20.0,False,1,2004,1
15.695714285714288,19.0,21.0,2250.0,Regular Gasoline,25.0,False,1,2004,2
15.695714285714288,19.0,21.0,2250.0,Regular Gasoline,25.0,False,1,2004,1
14.330869565217393,20.0,23.0,2050.0,Regular Gasoline,28.0,False,1,2004,2
14.330869565217393,20.0,23.0,2050.0,Regular Gasoline,28.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,26.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,27.0,False,1,2004,1
15.695714285714288,18.0,21.0,2750.0,Premium Gasoline,25.0,False,1,2004,1
18.311666666666667,15.0,18.0,3200.0,Premium Gasoline,23.0,False,1,2004,2
14.98227272727273,19.0,22.0,2650.0,Premium Gasoline,27.0,False,1,2004,2
14.98227272727273,18.0,22.0,2650.0,Premium Gasoline,28.0,False,1,2004,2
