barrels08,city08,comb08,fuelCost08,fuelType,fuelType1,highway08,make,model,phevBlended,VClass,year,score
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,23.0,Nissan,350z Roadster,False,Two Seaters,2004.0,1.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,27.0,Porsche,Boxster,False,Two Seaters,2004.0,5.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,24.0,Porsche,Boxster,False,Two Seaters,2004.0,5.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,24.0,Porsche,Boxster S,False,Two Seaters,2004.0,5.0
18.311666666666667,15.0,18.0,3200.0,Premium,Premium Gasoline,24.0,Porsche,Boxster S,False,Two Seaters,2004.0,5.0
20.600625,14.0,16.0,3650.0,Premium,Premium Gasoline,21.0,Porsche,Carrera 2 911 GT3,False,Two Seaters,2004.0,1.0
29.96454545454546,9.0,11.0,5300.0,Premium,Premium Gasoline,15.0,Porsche,Carrera GT,False,Two Seaters,2004.0,1.0
13.1844,23.0,25.0,1900.0,Regular,Regular Gasoline,29.0,Toyota,MR2,False,Two Seaters,2004.0,1.0
12.677307692307693,23.0,26.0,1850.0,Regular,Regular Gasoline,30.0,Toyota,MR2,False,Two Seaters,2004.0,1.0
25.354615384615386,11.0,13.0,4450.0,Premium,Premium Gasoline,18.0,Aston Martin,V12 Vanquish,False,Minicompact Cars,2004.0,3.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,27.0,Audi,TT Coupe,False,Minicompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,26.0,Audi,TT Coupe quattro,False,Minicompact Cars,2004.0,1.0
14.98227272727273,20.0,22.0,2650.0,Premium,Premium Gasoline,24.0,Audi,TT Coupe quattro,False,Minicompact Cars,2004.0,1.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,25.0,BMW,325ci Convertible,False,Minicompact Cars,2004.0,5.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,25.0,BMW,325ci Convertible,False,Minicompact Cars,2004.0,6.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,24.0,BMW,325ci Convertible,False,Minicompact Cars,2004.0,5.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,24.0,BMW,325ci Convertible,False,Minicompact Cars,2004.0,6.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,26.0,BMW,325ci Convertible,False,Minicompact Cars,2004.0,1.0
15.695714285714288,18.0,21.0,2750.0,Premium,Premium Gasoline,26.0,BMW,325ci Convertible,False,Minicompact Cars,2004.0,2.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,26.0,BMW,330ci Convertible,False,Minicompact Cars,2004.0,5.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,26.0,BMW,330ci Convertible,False,Minicompact Cars,2004.0,6.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,23.0,BMW,330ci Convertible,False,Minicompact Cars,2004.0,5.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,23.0,BMW,330ci Convertible,False,Minicompact Cars,2004.0,6.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,25.0,BMW,330ci Convertible,False,Minicompact Cars,2004.0,1.0
16.4805,17.0,20.0,2900.0,Premium,Premium Gasoline,25.0,BMW,330ci Convertible,False,Minicompact Cars,2004.0,2.0
19.388823529411766,14.0,17.0,3400.0,Premium,Premium Gasoline,21.0,BMW,M3 Convertible,False,Minicompact Cars,2004.0,1.0
20.600625,14.0,16.0,3650.0,Premium,Premium Gasoline,20.0,BMW,M3 Convertible,False,Minicompact Cars,2004.0,1.0
17.347894736842107,16.0,19.0,3050.0,Premium,Premium Gasoline,24.0,Jaguar,XK8 Convertible,False,Minicompact Cars,2004.0,5.0
19.388823529411766,14.0,17.0,3400.0,Premium,Premium Gasoline,21.0,Jaguar,XKR Convertible,False,Minicompact Cars,2004.0,1.0
18.311666666666667,16.0,18.0,3200.0,Premium,Premium Gasoline,22.0,Lexus,SC 430,False,Minicompact Cars,2004.0,1.0
18.311666666666667,16.0,18.0,3200.0,Premium,Premium Gasoline,22.0,Lexus,SC 430,False,Minicompact Cars,2004.0,2.0
13.1844,22.0,25.0,2300.0,Premium,Premium Gasoline,29.0,MINI,Cooper,False,Minicompact Cars,2004.0,1.0
